Latitude,Longitude,System_ID,unit,value,Time_UTC,Temperature_diff_K
51.96257,7.62592,1,°C,23.87,2019-08-06T17:00:00.000Z,1.1
51.96255,7.62593,1,°C,23.89,2019-08-06T17:00:01.000Z,1.2
51.96255,7.62593,1,°C,23.89,2019-08-06T17:00:02.000Z,1.2
51.96253,7.62596,1,°C,23.9,2019-08-06T17:00:04.000Z,1.2
51.96253,7.62596,1,°C,23.9,2019-08-06T17:00:05.000Z,1.2
51.9625,7.626,1,°C,23.89,2019-08-06T17:00:06.000Z,1.2
51.9625,7.626,1,°C,23.89,2019-08-06T17:00:07.000Z,1.2
51.96248,7.62601,1,°C,23.9,2019-08-06T17:00:08.000Z,1.2
51.96248,7.62607,1,°C,23.9,2019-08-06T17:00:09.000Z,1.2
51.96241,7.62607,1,°C,23.93,2019-08-06T17:00:11.000Z,1.2
51.96238,7.62613,1,°C,23.92,2019-08-06T17:00:12.000Z,1.2
51.96238,7.62613,1,°C,23.93,2019-08-06T17:00:13.000Z,1.2
51.96235,7.62616,1,°C,23.93,2019-08-06T17:00:14.000Z,1.2
51.96235,7.62616,1,°C,23.94,2019-08-06T17:00:15.000Z,1.2
51.96228,7.62626,1,°C,23.94,2019-08-06T17:00:16.000Z,1.2
51.96228,7.62626,1,°C,23.94,2019-08-06T17:00:18.000Z,1.2
51.96224,7.62635,1,°C,23.96,2019-08-06T17:00:19.000Z,1.2
51.96224,7.62635,1,°C,23.96,2019-08-06T17:00:20.000Z,1.2
51.96222,7.6264,1,°C,23.93,2019-08-06T17:00:21.000Z,1.2
51.96222,7.62649,1,°C,23.96,2019-08-06T17:00:22.000Z,1.2
51.96219,7.62649,1,°C,23.96,2019-08-06T17:00:23.000Z,1.2
51.96219,7.62664,1,°C,23.96,2019-08-06T17:00:25.000Z,1.2
51.96214,7.62664,1,°C,23.96,2019-08-06T17:00:26.000Z,1.2
51.96211,7.62673,1,°C,23.97,2019-08-06T17:00:27.000Z,1.2
51.96211,7.62673,1,°C,23.96,2019-08-06T17:00:28.000Z,1.2
51.96209,7.62678,1,°C,23.96,2019-08-06T17:00:29.000Z,1.2
51.96209,7.62678,1,°C,23.96,2019-08-06T17:00:30.000Z,1.2
51.96204,7.62688,1,°C,23.96,2019-08-06T17:00:32.000Z,1.2
51.96204,7.62688,1,°C,23.96,2019-08-06T17:00:33.000Z,1.2
51.96201,7.62695,1,°C,23.97,2019-08-06T17:00:34.000Z,1.2
51.96201,7.62695,1,°C,23.97,2019-08-06T17:00:35.000Z,1.2
51.96199,7.627,1,°C,23.97,2019-08-06T17:00:36.000Z,1.2
51.96199,7.62715,1,°C,23.97,2019-08-06T17:00:37.000Z,1.2
51.96196,7.62715,1,°C,23.99,2019-08-06T17:00:39.000Z,1.3
51.96196,7.62726,1,°C,23.96,2019-08-06T17:00:40.000Z,1.2
51.96193,7.62726,1,°C,23.97,2019-08-06T17:00:41.000Z,1.2
51.96189,7.62736,1,°C,23.97,2019-08-06T17:00:42.000Z,1.2
51.96189,7.62736,1,°C,23.96,2019-08-06T17:00:43.000Z,1.2
51.96185,7.62746,1,°C,23.94,2019-08-06T17:00:44.000Z,1.2
51.96185,7.62746,1,°C,23.96,2019-08-06T17:00:46.000Z,1.2
51.96182,7.62756,1,°C,23.96,2019-08-06T17:00:47.000Z,1.2
51.96182,7.62756,1,°C,23.97,2019-08-06T17:00:48.000Z,1.2
51.96178,7.62765,1,°C,23.96,2019-08-06T17:00:49.000Z,1.2
51.96178,7.62765,1,°C,23.96,2019-08-06T17:00:50.000Z,1.2
51.96175,7.62768,1,°C,23.94,2019-08-06T17:00:51.000Z,1.2
51.96175,7.62769,1,°C,23.93,2019-08-06T17:00:53.000Z,1.2
51.96169,7.62769,1,°C,23.92,2019-08-06T17:00:54.000Z,1.2
51.96161,7.62767,1,°C,23.93,2019-08-06T17:00:55.000Z,1.2
51.96161,7.62767,1,°C,23.93,2019-08-06T17:00:56.000Z,1.2
51.96161,7.62767,1,°C,23.92,2019-08-06T17:00:57.000Z,1.2
51.96152,7.62766,1,°C,23.92,2019-08-06T17:00:58.000Z,1.2
51.96152,7.62766,1,°C,23.9,2019-08-06T17:01:00.000Z,1.2
51.96143,7.62763,1,°C,23.9,2019-08-06T17:01:01.000Z,1.2
51.96143,7.62763,1,°C,23.89,2019-08-06T17:01:02.000Z,1.2
51.96135,7.6276,1,°C,23.89,2019-08-06T17:01:03.000Z,1.2
51.96135,7.6276,1,°C,23.89,2019-08-06T17:01:04.000Z,1.2
51.96127,7.62758,1,°C,23.89,2019-08-06T17:01:05.000Z,1.2
51.96127,7.62758,1,°C,23.87,2019-08-06T17:01:07.000Z,1.1
51.96115,7.62762,1,°C,23.86,2019-08-06T17:01:08.000Z,1.1
51.96115,7.62765,1,°C,23.87,2019-08-06T17:01:09.000Z,1.1
51.96113,7.62765,1,°C,23.86,2019-08-06T17:01:10.000Z,1.1
51.96107,7.62775,1,°C,23.86,2019-08-06T17:01:11.000Z,1.1
51.96107,7.62775,1,°C,23.82,2019-08-06T17:01:12.000Z,1.1
51.96107,7.62775,1,°C,23.86,2019-08-06T17:01:14.000Z,1.1
51.96105,7.62786,1,°C,23.84,2019-08-06T17:01:15.000Z,1.1
51.96105,7.62786,1,°C,23.84,2019-08-06T17:01:16.000Z,1.1
51.96105,7.62786,1,°C,23.82,2019-08-06T17:01:17.000Z,1.1
51.96103,7.62796,1,°C,23.82,2019-08-06T17:01:18.000Z,1.1
51.96103,7.62796,1,°C,23.82,2019-08-06T17:01:19.000Z,1.1
51.96102,7.62807,1,°C,23.84,2019-08-06T17:01:21.000Z,1.1
51.96102,7.62807,1,°C,23.82,2019-08-06T17:01:22.000Z,1.1
51.96102,7.62829,1,°C,23.82,2019-08-06T17:01:23.000Z,1.1
51.96102,7.62829,1,°C,23.81,2019-08-06T17:01:24.000Z,1.1
51.96101,7.62834,1,°C,23.82,2019-08-06T17:01:25.000Z,1.1
51.96101,7.62843,1,°C,23.82,2019-08-06T17:01:26.000Z,1.1
51.96101,7.62843,1,°C,23.82,2019-08-06T17:01:28.000Z,1.1
51.96101,7.62843,1,°C,23.81,2019-08-06T17:01:29.000Z,1.1
51.96101,7.62852,1,°C,23.81,2019-08-06T17:01:30.000Z,1.1
51.961,7.62852,1,°C,23.81,2019-08-06T17:01:31.000Z,1.1
51.961,7.62852,1,°C,23.81,2019-08-06T17:01:32.000Z,1.1
51.961,7.62852,1,°C,23.81,2019-08-06T17:01:33.000Z,1.1
51.96101,7.62852,1,°C,23.81,2019-08-06T17:01:35.000Z,1.1
51.96101,7.62852,1,°C,23.81,2019-08-06T17:01:36.000Z,1.1
51.96102,7.62853,1,°C,23.81,2019-08-06T17:01:37.000Z,1.1
51.96103,7.62854,1,°C,23.81,2019-08-06T17:01:38.000Z,1.1
