Latitude,Longitude,System_ID,unit,value,Time_UTC,Temperature_diff_K,,Datum,Uhrzeit,Zeitdifferenz,UhrzeitUTC,Rest,Uhrzeit umgewandelt in Text,,
51.96257,7.62564,1,°C,20.85,2019-07-17T17:57:01.000Z,0.2,,2019-07-17T,19:57:01,02:00:00,17:57:01,.000Z,17:57:01,,
51.96257,7.62567,1,°C,20.87,2019-07-17T17:57:02.000Z,0.2,,2019-07-17T,19:57:02,02:00:00,17:57:02,.000Z,17:57:02,,
51.96255,7.62567,1,°C,20.87,2019-07-17T17:57:03.000Z,0.2,,2019-07-17T,19:57:03,02:00:00,17:57:03,.000Z,17:57:03,,
51.96255,7.62568,1,°C,20.87,2019-07-17T17:57:04.000Z,0.2,,2019-07-17T,19:57:04,02:00:00,17:57:04,.000Z,17:57:04,,
51.96255,7.62568,1,°C,20.85,2019-07-17T17:57:05.000Z,0.2,,2019-07-17T,19:57:05,02:00:00,17:57:05,.000Z,17:57:05,,
51.96255,7.62569,1,°C,20.87,2019-07-17T17:57:06.000Z,0.2,,2019-07-17T,19:57:06,02:00:00,17:57:06,.000Z,17:57:06,,
51.96255,7.62569,1,°C,20.87,2019-07-17T17:57:07.000Z,0.2,,2019-07-17T,19:57:07,02:00:00,17:57:07,.000Z,17:57:07,,
51.96256,7.62569,1,°C,20.87,2019-07-17T17:57:08.000Z,0.2,,2019-07-17T,19:57:08,02:00:00,17:57:08,.000Z,17:57:08,,
51.96255,7.62569,1,°C,20.87,2019-07-17T17:57:09.000Z,0.2,,2019-07-17T,19:57:09,02:00:00,17:57:09,.000Z,17:57:09,,
51.96255,7.62569,1,°C,20.87,2019-07-17T17:57:10.000Z,0.2,,2019-07-17T,19:57:10,02:00:00,17:57:10,.000Z,17:57:10,,
51.96255,7.6257,1,°C,20.87,2019-07-17T17:57:11.000Z,0.2,,2019-07-17T,19:57:11,02:00:00,17:57:11,.000Z,17:57:11,,
51.96255,7.6257,1,°C,20.87,2019-07-17T17:57:12.000Z,0.2,,2019-07-17T,19:57:12,02:00:00,17:57:12,.000Z,17:57:12,,
51.96254,7.6257,1,°C,20.88,2019-07-17T17:57:13.000Z,0.2,,2019-07-17T,19:57:13,02:00:00,17:57:13,.000Z,17:57:13,,
51.96253,7.6257,1,°C,20.88,2019-07-17T17:57:14.000Z,0.2,,2019-07-17T,19:57:14,02:00:00,17:57:14,.000Z,17:57:14,,
51.96253,7.6257,1,°C,20.88,2019-07-17T17:57:15.000Z,0.2,,2019-07-17T,19:57:15,02:00:00,17:57:15,.000Z,17:57:15,,
51.96252,7.62572,1,°C,20.88,2019-07-17T17:57:16.000Z,0.2,,2019-07-17T,19:57:16,02:00:00,17:57:16,.000Z,17:57:16,,
51.96252,7.62572,1,°C,20.87,2019-07-17T17:57:17.000Z,0.2,,2019-07-17T,19:57:17,02:00:00,17:57:17,.000Z,17:57:17,,
51.96252,7.62571,1,°C,20.88,2019-07-17T17:57:18.000Z,0.2,,2019-07-17T,19:57:18,02:00:00,17:57:18,.000Z,17:57:18,,
51.96252,7.62571,1,°C,20.89,2019-07-17T17:57:19.000Z,0.2,,2019-07-17T,19:57:19,02:00:00,17:57:19,.000Z,17:57:19,,
51.96251,7.62571,1,°C,20.89,2019-07-17T17:57:20.000Z,0.2,,2019-07-17T,19:57:20,02:00:00,17:57:20,.000Z,17:57:20,,
51.9625,7.62572,1,°C,20.89,2019-07-17T17:57:21.000Z,0.2,,2019-07-17T,19:57:21,02:00:00,17:57:21,.000Z,17:57:21,,
51.9625,7.62572,1,°C,20.89,2019-07-17T17:57:22.000Z,0.2,,2019-07-17T,19:57:22,02:00:00,17:57:22,.000Z,17:57:22,,
