Latitude,Longitude,System_ID,unit,value,Time_UTC,Temperature_diff_K,,Datum,Uhrzeit,Zeitdifferenz,UhrzeitUTC,Rest,Uhrzeit umgewandelt in Text,,
51.96626,7.60313,1,°C,16.86,2019-07-16T15:57:01.000Z,0.0,,2019-07-16T,17:57:01,02:00:00,15:57:01,.000Z,15:57:01,,
51.96626,7.60313,1,°C,16.89,2019-07-16T15:57:02.000Z,0.1,,2019-07-16T,17:57:02,02:00:00,15:57:02,.000Z,15:57:02,,
51.96626,7.60313,1,°C,16.86,2019-07-16T15:57:03.000Z,0.0,,2019-07-16T,17:57:03,02:00:00,15:57:03,.000Z,15:57:03,,
51.96626,7.60313,1,°C,16.89,2019-07-16T15:57:04.000Z,0.1,,2019-07-16T,17:57:04,02:00:00,15:57:04,.000Z,15:57:04,,
51.96626,7.60313,1,°C,16.86,2019-07-16T15:57:05.000Z,0.0,,2019-07-16T,17:57:05,02:00:00,15:57:05,.000Z,15:57:05,,
51.96626,7.60313,1,°C,16.89,2019-07-16T15:57:06.000Z,0.1,,2019-07-16T,17:57:06,02:00:00,15:57:06,.000Z,15:57:06,,
51.96626,7.60313,1,°C,16.88,2019-07-16T15:57:07.000Z,0.1,,2019-07-16T,17:57:07,02:00:00,15:57:07,.000Z,15:57:07,,
51.96626,7.60313,1,°C,16.86,2019-07-16T15:57:08.000Z,0.0,,2019-07-16T,17:57:08,02:00:00,15:57:08,.000Z,15:57:08,,
51.96626,7.60313,1,°C,16.88,2019-07-16T15:57:09.000Z,0.1,,2019-07-16T,17:57:09,02:00:00,15:57:09,.000Z,15:57:09,,
51.96626,7.60313,1,°C,16.86,2019-07-16T15:57:10.000Z,0.0,,2019-07-16T,17:57:10,02:00:00,15:57:10,.000Z,15:57:10,,
51.96626,7.60313,1,°C,16.86,2019-07-16T15:57:11.000Z,0.0,,2019-07-16T,17:57:11,02:00:00,15:57:11,.000Z,15:57:11,,
51.96626,7.60313,1,°C,16.85,2019-07-16T15:57:12.000Z,0.0,,2019-07-16T,17:57:12,02:00:00,15:57:12,.000Z,15:57:12,,
51.96626,7.60312,1,°C,16.86,2019-07-16T15:57:13.000Z,0.0,,2019-07-16T,17:57:13,02:00:00,15:57:13,.000Z,15:57:13,,
51.96626,7.60312,1,°C,16.86,2019-07-16T15:57:14.000Z,0.0,,2019-07-16T,17:57:14,02:00:00,15:57:14,.000Z,15:57:14,,
51.96626,7.60313,1,°C,16.86,2019-07-16T15:57:15.000Z,0.0,,2019-07-16T,17:57:15,02:00:00,15:57:15,.000Z,15:57:15,,
51.96626,7.60313,1,°C,16.85,2019-07-16T15:57:16.000Z,0.0,,2019-07-16T,17:57:16,02:00:00,15:57:16,.000Z,15:57:16,,
51.96626,7.60314,1,°C,16.83,2019-07-16T15:57:17.000Z,0.0,,2019-07-16T,17:57:17,02:00:00,15:57:17,.000Z,15:57:17,,
51.96626,7.60314,1,°C,16.86,2019-07-16T15:57:18.000Z,0.0,,2019-07-16T,17:57:18,02:00:00,15:57:18,.000Z,15:57:18,,
51.96626,7.60314,1,°C,16.83,2019-07-16T15:57:19.000Z,0.0,,2019-07-16T,17:57:19,02:00:00,15:57:19,.000Z,15:57:19,,
51.96626,7.60315,1,°C,16.83,2019-07-16T15:57:20.000Z,0.0,,2019-07-16T,17:57:20,02:00:00,15:57:20,.000Z,15:57:20,,
51.96626,7.60315,1,°C,16.85,2019-07-16T15:57:21.000Z,0.0,,2019-07-16T,17:57:21,02:00:00,15:57:21,.000Z,15:57:21,,
